label,allocator,n_seeds,metric,mean,std,n_reached,never_reached
n10,debs,3,Coverage %,57.32514941952206,4.193041385817972,3,0
n10,debs,3,Time-to-70% (s),,,0,3
n10,debs,3,Time-to-85% (s),,,0,3
n10,debs,3,Trajectory efficiency (m^2/m),3.2337544227644943,0.22279519188244545,3,0
n10,debs,3,Mission overlap,0.6666666666666666,0.05443310539518172,3,0
n10,debs,3,"Path distance (m, fleet total)",1772.1911441118073,8.867214904961815,3,0
n10,debs,3,Travel-time fraction %,78.09325562031634,0.03115451612635216,3,0
n10,debs,3,Exploration-time fraction %,21.90674437968366,0.031154516126353747,3,0
n10,greedy,3,Coverage %,86.10548103990679,2.113523540712792,3,0
n10,greedy,3,Time-to-70% (s),78.0666666666665,5.2854096866328515,3,0
n10,greedy,3,Time-to-85% (s),111.84999999999792,7.549999999999571,2,1
n10,greedy,3,Trajectory efficiency (m^2/m),4.832464251396996,0.12072948261065791,3,0
n10,greedy,3,Mission overlap,0.6666666666666666,0.0,3,0
n10,greedy,3,"Path distance (m, fleet total)",1781.8328275040878,1.2146095810946524,3,0
n10,greedy,3,Travel-time fraction %,99.0591174021648,0.047589309462897966,3,0
n10,greedy,3,Exploration-time fraction %,0.940882597835202,0.0475893094629012,3,0
n20,debs,3,Coverage %,72.44883701353032,5.820468610843487,3,0
n20,debs,3,Time-to-70% (s),83.19999999999955,0.0,1,2
n20,debs,3,Time-to-85% (s),,,0,3
n20,debs,3,Trajectory efficiency (m^2/m),2.0560860179139113,0.17216210643247132,3,0
n20,debs,3,Mission overlap,0.6263157894736843,0.06753816335059702,3,0
n20,debs,3,"Path distance (m, fleet total)",3524.5997931681595,15.785119871357315,3,0
n20,debs,3,Travel-time fraction %,78.2847626977519,0.03278104860118824,3,0
n20,debs,3,Exploration-time fraction %,21.715237302248088,0.032781048601187635,3,0
n20,greedy,3,Coverage %,99.9842544481184,0.022267573017998952,3,0
n20,greedy,3,Time-to-70% (s),45.200000000000365,4.393935214209151,3,0
n20,greedy,3,Time-to-85% (s),61.600000000000556,4.071854614300466,3,0
n20,greedy,3,Trajectory efficiency (m^2/m),2.876303646041156,0.08316586637253956,3,0
n20,greedy,3,Mission overlap,0.6719298245614035,0.002481076425215964,3,0
n20,greedy,3,"Path distance (m, fleet total)",3478.975923936691,98.18623432646514,3,0
n20,greedy,3,Travel-time fraction %,96.98723286150435,3.21176996183268,3,0
n20,greedy,3,Exploration-time fraction %,3.012767138495646,3.2117699618326783,3,0
