comm_range,num_uavs,seed,final_coverage,time_to_70,time_to_85,path_distance_total,trajectory_efficiency,mission_overlap_final
10m,10,42,0.29404818138875766,,,1741.22929806095,1.6887389944346365,0.6222222222222222
10m,10,43,0.248469147432878,,,1793.995665864993,1.3850041678505178,0.6666666666666666
10m,10,44,0.27262044653349,,,1792.3383836628002,1.5210322393272986,0.5777777777777777
10m,10,45,0.326463700234192,,,1789.634962175815,1.824191564950663,0.6666666666666666
10m,10,46,0.32507666902571364,,,1782.6887754314462,1.823518908661096,0.6888888888888889
20m,10,42,0.4133207368918281,,,1795.9495979944675,2.301404991283621,0.3333333333333333
20m,10,43,0.37988695242581255,,,1784.8255826660068,2.1284261953393377,0.37777777777777777
20m,10,44,0.3891891891891892,,,1776.0395709753384,2.1913317447958676,0.35555555555555557
20m,10,45,0.4135831381733021,,,1774.7896613120226,2.3303219935795583,0.4222222222222222
20m,10,46,0.4012738853503185,,,1783.2783660808714,2.2502032940163015,0.3333333333333333
30m,10,42,0.4170996693434105,,,1772.4280770637138,2.3532671070884694,0.3111111111111111
30m,10,43,0.4027319830428639,,,1784.853172231913,2.2563871880803386,0.3111111111111111
30m,10,44,0.4834312573443008,,,1779.4387162925718,2.7167626112548624,0.26666666666666666
30m,10,45,0.39601873536299764,,,1748.412568108704,2.2650188095558006,0.24444444444444444
30m,10,46,0.47770700636942676,,,1769.2672458552408,2.7000274124133767,0.28888888888888886
50m,10,42,0.512045347189419,,,1766.394888781826,2.898815833545268,0.7333333333333333
50m,10,43,0.4394724446537918,,,1776.1756467908626,2.4742623030994517,0.6
50m,10,44,0.5008225616921269,,,1740.0942472029835,2.8781346901016764,0.6666666666666666
50m,10,45,0.4718969555035129,,,1790.8989030963576,2.634972608937507,0.5777777777777777
50m,10,46,0.49469214437367304,,,1775.3929997021514,2.7863810686234824,0.7333333333333333
