fleet_label,comm_range,n_seeds,metric,mean,std,n_reached,never_reached
n10,10m,5,Coverage %,29.333562892300627,3.015821748496447,5,0
n10,10m,5,Time-to-70% (s),,,0,5
n10,10m,5,Time-to-85% (s),,,0,5
n10,10m,5,Trajectory efficiency (m^2/m),1.6484971750448423,0.1725087850447067,5,0
n10,10m,5,Mission overlap,0.6444444444444445,0.03975231959999627,5,0
n10,10m,5,"Path distance (m, fleet total)",1779.977417039201,19.75520773244961,5,0
n10,20m,5,Coverage %,39.945078040609005,1.3292603658870448,5,0
n10,20m,5,Time-to-70% (s),,,0,5
n10,20m,5,Time-to-85% (s),,,0,5
n10,20m,5,Trajectory efficiency (m^2/m),2.2403376438029374,0.07327958190641146,5,0
n10,20m,5,Mission overlap,0.36444444444444446,0.03325917677132393,5,0
n10,20m,5,"Path distance (m, fleet total)",1782.9765558057413,7.575708724484426,5,0
n10,30m,5,Coverage %,43.53977302925999,3.754962019174406,5,0
n10,30m,5,Time-to-70% (s),,,0,5
n10,30m,5,Time-to-85% (s),,,0,5
n10,30m,5,Trajectory efficiency (m^2/m),2.4582926256785695,0.207071665781218,5,0
n10,30m,5,Mission overlap,0.2844444444444444,0.025915341754868006,5,0
n10,30m,5,"Path distance (m, fleet total)",1770.8799559104286,12.476250888038313,5,0
n10,50m,5,Coverage %,48.37858906825046,2.5740317361533536,5,0
n10,50m,5,Time-to-70% (s),,,0,5
n10,50m,5,Time-to-85% (s),,,0,5
n10,50m,5,Trajectory efficiency (m^2/m),2.734513300861477,0.15996976102441282,5,0
n10,50m,5,Mission overlap,0.6622222222222222,0.06501661705923463,5,0
n10,50m,5,"Path distance (m, fleet total)",1769.7913371148363,16.79952610020461,5,0
