seed,num_uavs,environment_type,target_speed_mps,coverage_at_search_start,coverage_at_mission_end,total_targets,static_targets,dynamic_targets,time_varying_targets,random_walk_targets,waypoint_patrol_targets,detected_count,detection_rate,avg_first_detection_time,avg_detection_delay,avg_assignment_delay,false_positives,false_negatives,successful_searches,failed_searches,search_success_rate,avg_search_duration_s,total_tracking_duration_s,avg_tracking_duration_s,avg_tracking_accuracy,avg_localization_error_m,total_loss_events,total_reacquisition_events,reacquisition_rate,successful_handovers,failed_handovers,avg_assigned_targets_per_uav,uav_utilization,completed_targets,lost_targets,mission_completion_time,search_phase_duration_s,sim_fps,wall_time_s,steps_executed
42,10,static,0.0,0.20004723665564478,0.20004723665564478,8,8,0,0,0,0,6,0.75,152.99999999999557,103.79999999999514,0.0,0,2,6,2,0.75,0.0999999999999955,60.599999999996655,7.574999999999582,0.9,0.0,0,0,0.0,0,0,0.0,0.6,6,0,300.09999999999974,250.8999999999993,2.7884924951471195,1076.2087419000454,3001
42,10,dynamic,1.0,0.20004723665564478,0.20004723665564478,8,0,4,0,2,2,7,0.875,108.2285714285695,59.02857142856906,0.0,0,1,7,1,0.875,0.3285714285714109,71.89999999999637,8.987499999999546,0.6988095238095238,0.0,2,1,0.5,2,0,0.0,0.6,6,1,200.09999999999292,150.89999999999247,2.264974717603406,883.4535699000116,2001
42,10,static,0.0,0.20004723665564478,0.20004723665564478,8,8,0,0,0,0,7,0.875,174.92857142856784,125.72857142856739,0.0,0,1,7,1,0.875,0.0999999999999994,70.59999999999893,8.824999999999866,0.9142857142857144,0.0,0,0,0.0,0,0,0.0,0.7,7,0,500.0000000000452,450.80000000004475,1.732276885242935,2886.3745989999734,5000
73,10,static,0.0,0.20051960321209258,0.20051960321209258,8,8,0,0,0,0,7,0.875,149.18571428571008,96.38571428570961,0.0,0,1,7,1,0.875,0.09999999999999432,70.69999999999598,8.837499999999498,0.9571428571428572,0.0,0,0,0.0,0,0,0.0,0.7,7,0,300.09999999999974,247.29999999999927,1.7099423326068233,1755.0299461999675,3001
42,10,static,0.0,0.06447803495512518,0.06447803495512518,8,8,0,0,0,0,6,0.75,107.99999999999686,107.79999999999687,0.0,0,2,6,2,0.75,0.10000000000000202,60.400000000001214,7.550000000000152,0.9333333333333332,0.0,0,0,0.0,0,0,0.0,0.6,6,0,330.00000000000654,329.80000000000655,1.8349271116736088,1798.436558599933,3300
42,10,dynamic,0.5,0.20004723665564478,0.20004723665564478,8,0,4,0,2,2,6,0.75,110.64999999999793,61.449999999997516,0.0,0,2,6,2,0.75,0.0999999999999955,69.79999999999632,8.72499999999954,0.6373015873015874,0.0,1,1,1.0,1,0,0.0,0.7,6,0,300.09999999999974,250.8999999999993,5.126853598500486,585.3492677999893,3001
73,10,static,0.0,0.06306093528578177,0.06306093528578177,8,8,0,0,0,0,7,0.875,97.6714285714268,97.47142857142681,0.0,0,1,7,1,0.875,0.09999999999999508,70.59999999999668,8.824999999999584,0.9142857142857144,0.0,0,0,0.0,0,0,0.0,0.7,7,0,330.00000000000654,329.80000000000655,5.2383533151335175,629.9689618999837,3300
73,10,dynamic,0.5,0.20051960321209258,0.20051960321209258,8,0,4,0,2,2,5,0.625,116.11999999999769,63.31999999999721,0.0,0,3,5,3,0.625,0.09999999999999432,53.99999999999696,6.74999999999962,0.5857575757575757,0.0,0,0,0.0,0,0,0.0,0.5,5,0,300.09999999999974,247.29999999999927,6.909541404742396,434.32694360008463,3001
73,10,static,0.0,0.20051960321209258,0.20051960321209258,8,8,0,0,0,0,7,0.875,149.18571428571008,96.38571428570961,0.0,0,1,7,1,0.875,0.09999999999999432,70.69999999999598,8.837499999999498,0.9571428571428572,0.0,0,0,0.0,0,0,0.0,0.7,7,0,500.0000000000452,447.2000000000447,2.394823137951277,2087.836851399974,5000
137,10,static,0.0,0.06400566839867737,0.06400566839867737,8,8,0,0,0,0,6,0.75,61.38333333333268,61.183333333332676,0.0,0,2,6,2,0.75,0.09999999999999876,60.39999999999895,7.549999999999868,0.9666666666666667,0.0,0,0,0.0,0,0,0.0,0.6,6,0,330.00000000000654,329.80000000000655,3.5664099987888838,925.3002322000684,3300
