scenario,seed,target_id,target_type,spawn_time,detection_time,detection_delay,assigned_uav,assignment_time,tracking_start,tracking_end,tracking_duration,loss_events,reacq_events,handover_events,localization_errors,avg_loc_error,tracking_accuracy,final_status,state_changes
Static Only,42,0,static,0.2,9.399999999999983,9.199999999999983,8,9.399999999999983,9.499999999999982,17.59999999999998,8.099999999999998,0,0,0,0.0000,0.0,0.6,completed,0
Static Only,42,1,static,0.2,26.300000000000104,26.100000000000104,5,26.300000000000104,26.400000000000105,34.40000000000022,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,42,2,static,0.2,77.49999999999987,77.29999999999987,4,77.49999999999987,77.59999999999987,85.6999999999994,8.09999999999954,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,42,3,static,0.2,73.5000000000001,73.3000000000001,1,73.5000000000001,73.6000000000001,81.69999999999963,8.09999999999954,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,42,4,static,0.2,88.89999999999922,88.69999999999922,2,88.89999999999922,88.99999999999922,,1.299999999999926,0,0,0,0.0000,0.0,1.0,tracking,0
Static Only,42,5,static,0.2,73.6000000000001,73.40000000000009,6,73.6000000000001,73.70000000000009,81.79999999999963,8.09999999999954,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,42,6,static,0.2,9.799999999999981,9.599999999999982,3,9.799999999999981,9.89999999999998,17.899999999999984,8.000000000000004,0,0,0,0.0000,0.0,0.8666666666666667,completed,0
Static Only,42,7,static,0.2,0.2,0.0,7,0.2,0.30000000000000004,8.399999999999986,8.099999999999987,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,73,0,static,0.2,2.700000000000001,2.500000000000001,7,2.700000000000001,2.800000000000001,10.899999999999977,8.099999999999977,0,0,1,0.0000,0.0,0.9285714285714286,completed,0
Static Only,73,1,static,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,0
Static Only,73,2,static,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,0
Static Only,73,3,static,0.2,45.50000000000038,45.300000000000374,4,45.50000000000038,45.60000000000038,53.60000000000049,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,73,4,static,0.2,40.80000000000031,40.60000000000031,2,40.80000000000031,40.90000000000031,48.900000000000425,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,73,5,static,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,0
Static Only,73,6,static,0.2,1.9000000000000006,1.7000000000000006,3,1.9000000000000006,2.0000000000000004,10.09999999999998,8.09999999999998,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,73,7,static,0.2,6.299999999999994,6.099999999999993,0,6.299999999999994,6.399999999999993,14.499999999999964,8.099999999999971,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,137,0,static,0.2,18.39999999999999,18.199999999999992,9,18.39999999999999,18.499999999999993,26.500000000000107,8.000000000000114,0,0,0,0.0000,0.0,0.7058823529411765,completed,0
Static Only,137,1,static,0.2,3.600000000000002,3.4000000000000017,3,3.600000000000002,3.700000000000002,11.799999999999974,8.099999999999973,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,137,2,static,0.2,10.29999999999998,10.09999999999998,2,10.29999999999998,10.399999999999979,18.39999999999999,8.000000000000012,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,137,3,static,0.2,38.70000000000028,38.50000000000028,1,38.70000000000028,38.80000000000028,46.800000000000395,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,137,4,static,0.2,,,,,,,0.0,0,0,0,0.0000,0.0,0.0,undiscovered,0
Static Only,137,5,static,0.2,18.39999999999999,18.199999999999992,4,18.39999999999999,18.499999999999993,26.500000000000107,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,137,6,static,0.2,0.2,0.0,0,0.2,0.30000000000000004,8.399999999999986,8.099999999999987,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,137,7,static,0.2,4.899999999999999,4.699999999999998,8,4.899999999999999,4.999999999999998,13.09999999999997,8.099999999999971,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,256,0,static,0.2,61.0000000000006,60.800000000000594,6,61.0000000000006,61.1000000000006,70.20000000000029,9.099999999999689,0,0,0,0.0000,0.0,0.5294117647058824,completed,0
Static Only,256,1,static,0.2,28.600000000000136,28.400000000000137,5,28.600000000000136,28.700000000000138,36.70000000000025,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,256,2,static,0.2,34.60000000000022,34.40000000000022,9,34.60000000000022,34.70000000000022,42.70000000000034,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
Static Only,256,3,static,0.2,45.70000000000038,45.50000000000038,8,45.70000000000038,45.80000000000038,53.800000000000495,8.000000000000114,0,0,0,0.0000,0.0,1.0,completed,0
