seed,scenario,total_targets,n_static,n_dynamic,n_time_varying,detected,detection_rate,avg_det_delay_s,avg_det_time_s,search_success_rate,completed,permanently_lost,avg_tracking_dur_s,avg_loc_error_m,avg_tracking_acc,total_loss_events,total_reacq_events,reacq_rate,total_handovers,tv_detected,tv_detection_rate,tv_completed,tv_state_changes,tv_avg_loc_error,tv_avg_tracking_dur,search_start_time_s,search_steps,wall_time_s,sim_fps
42,Static Only,8,8,0,0,8,1.0,44.69999999999992,44.89999999999992,0.875,7,0,7.224999999999831,0.0,0.9333333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.2,901,2.39,377.9
73,Static Only,8,8,0,0,5,0.625,19.240000000000137,19.440000000000136,0.625,5,0,8.060000000000032,0.0,0.9857142857142858,0,0,0.0,1,0,0.0,0,0,0.0,0.0,0.2,901,2.59,348.9
137,Static Only,8,8,0,0,7,0.875,13.300000000000034,13.500000000000037,0.875,7,0,8.042857142857184,0.0,0.957983193277311,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.2,901,2.12,426.7
256,Static Only,8,8,0,0,7,0.875,32.65714285714309,32.857142857143096,0.875,7,0,8.171428571428606,0.0,0.9327731092436975,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.2,901,2.21,409.5
999,Static Only,8,8,0,0,6,0.75,23.233333333333462,23.43333333333346,0.75,6,0,8.033333333333404,0.0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.2,901,2.4,375.8
42,Dynamic Only,8,0,8,0,7,0.875,30.114285714285927,30.314285714285926,0.875,7,0,13.742857142857206,0.0,0.7636724044456492,1,1,1.0,2,0,0.0,0,0,0.0,0.0,0.2,901,2.27,398.1
73,Dynamic Only,8,0,8,0,5,0.625,17.160000000000117,17.36000000000012,0.625,5,0,9.039999999999992,0.0,0.7695187165775401,1,1,1.0,0,0,0.0,0,0,0.0,0.0,0.2,901,2.23,404.3
137,Dynamic Only,8,0,8,0,8,1.0,14.650000000000045,14.850000000000044,0.875,7,1,7.825000000000055,0.0,0.7483265877957659,1,0,0.0,1,0,0.0,0,0,0.0,0.0,0.2,438,1.13,388.5
256,Dynamic Only,8,0,8,0,7,0.875,26.414285714285814,26.614285714285817,0.75,6,1,7.942857142857207,0.0,0.6395642040600024,1,0,0.0,1,0,0.0,0,0,0.0,0.0,0.2,901,2.31,391.3
999,Dynamic Only,8,0,8,0,5,0.625,10.360000000000017,10.56000000000002,0.5,4,1,7.660000000000025,0.0,0.6309649122807018,1,0,0.0,0,0,0.0,0,0,0.0,0.0,0.2,901,2.31,391.2
42,Time-Varying Only,8,0,0,8,6,0.75,32.40000000000001,32.600000000000016,0.75,6,0,8.49999999999986,0.0,0.8307318541451668,0,0,0.0,3,6,0.75,6,13,0.0,8.49999999999986,0.2,901,2.29,393.5
73,Time-Varying Only,8,0,0,8,6,0.75,31.983333333333487,32.183333333333486,0.75,6,0,8.866666666666521,0.0,0.8387445887445888,1,1,1.0,0,6,0.75,6,12,0.0,8.866666666666521,0.2,901,2.2,410.1
137,Time-Varying Only,8,0,0,8,8,1.0,22.012500000000152,22.212500000000148,0.875,7,1,8.837499999999999,0.0,0.7590484563390574,2,1,0.5,1,8,1.0,7,7,0.0,8.837499999999999,0.2,699,1.73,404.3
256,Time-Varying Only,8,0,0,8,4,0.5,12.174999999999972,12.374999999999972,0.5,4,0,9.42500000000007,0.0,0.7263471177944862,0,0,0.0,0,4,0.5,4,15,0.0,9.42500000000007,0.2,901,2.38,379.0
999,Time-Varying Only,8,0,0,8,6,0.75,17.96666666666677,18.16666666666677,0.75,6,0,8.249999999999954,0.0,0.7872023809523809,0,0,0.0,0,6,0.75,6,10,0.0,8.249999999999954,0.2,901,2.31,390.7
42,Mixed (2S+2D+4TV),8,2,2,4,6,0.75,28.35000000000017,28.55000000000017,0.75,6,0,8.000000000000078,0.0,0.8830065359477124,0,0,0.0,1,3,0.75,3,5,0.0,8.000000000000064,0.2,901,2.36,382.1
73,Mixed (2S+2D+4TV),8,2,2,4,5,0.625,36.35999999999992,36.559999999999924,0.625,5,0,8.499999999999805,0.0,0.9190476190476191,0,0,0.0,2,2,0.5,2,8,0.0,9.149999999999698,0.2,901,2.28,396.8
137,Mixed (2S+2D+4TV),8,2,2,4,7,0.875,15.471428571428643,15.671428571428644,0.875,7,0,8.571428571428608,0.0,0.8424969987995199,0,0,0.0,1,3,0.75,3,5,0.0,8.066666666666691,0.2,901,2.25,401.8
256,Mixed (2S+2D+4TV),8,2,2,4,7,0.875,33.442857142857314,33.64285714285732,0.75,6,1,8.200000000000012,0.0,0.7010383100608664,1,0,0.0,0,3,0.75,2,8,0.0,6.800000000000092,0.2,901,2.09,431.2
999,Mixed (2S+2D+4TV),8,2,2,4,7,0.875,21.7000000000001,21.900000000000095,0.875,7,0,14.371428571428655,0.0,0.7493932038834952,1,1,1.0,1,3,0.75,3,5,0.0,8.20000000000007,0.2,901,2.74,330.0
42,Mixed (0S+4D+4TV),8,0,4,4,6,0.75,25.600000000000154,25.800000000000157,0.75,6,0,14.700000000000069,0.0,0.7347011385199241,1,1,1.0,2,2,0.5,2,7,0.0,8.050000000000033,0.2,901,2.26,400.1
73,Mixed (0S+4D+4TV),8,0,4,4,7,0.875,32.68571428571446,32.88571428571446,0.875,7,0,9.21428571428552,0.0,0.7494414033556006,1,1,1.0,0,4,1.0,4,6,0.0,8.874999999999645,0.2,901,2.22,407.5
137,Mixed (0S+4D+4TV),8,0,4,4,8,1.0,21.962500000000148,22.162500000000147,0.75,6,2,6.912499999999988,0.0,0.7474884969894638,2,0,0.0,1,4,1.0,3,5,0.0,7.2749999999999595,0.2,699,1.74,402.9
